Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Hotel Rahaa Vilas," 124, Poonamalle High Road, Varalakshmi Nagar, Opposite MGR University, Maduravoyal, Chennai",Maduravoyal,"['North Indian', ' South Indian', ' Chinese', ' Street Food']",Invalid,400.0,3.4,34,4.1,389,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']"
Chai Kanth," 153, Chandrasekaran Avenue, Thuraipakkam, Chennai",Thuraipakkam,['Beverages'],Invalid,200.0,3.7,35,3.7,1865,"['Home Delivery', 'Indoor Seating', 'Self Service', 'Desserts and Bakes']"
Truffle Delight," 131,Ground Floor,Velu Military Complex,Eldams Road, Teynampet, Chennai",Teynampet,"['Bakery', ' Fast Food', ' Desserts']",Invalid,350.0,3.7,28,4.0,148,"['Home Delivery', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes']"
New Annapurana," 24, Melrosapuram Junction Singapermalkoil, Chengalpattu, Chennai",Chengalpattu,"['Mithai', ' North Indian', ' Chinese', ' Desserts', ' South Indian']",Invalid,300.0,3.4,39,3.6,4565,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Shawarma 360 Degree," 222/1, Eswaran Koil Street Main Road, Madipakkam, Chennai",Madipakkam,['Lebanese'],Invalid,300.0,3.4,43,3.8,123,"['Home Delivery', 'Indoor Seating']"
Karaikudi Kumar Mess," 3/165, 1B, Kundrathur Main Road, Madhanandhapuram, Porur, Chennai",Porur,"['South Indian', ' Chinese', ' North Indian', ' Biryani']",Invalid,450.0,3.1,17,3.6,443,"['Home Delivery', 'Indoor Seating']"
Hotel Arunachala," 1, Parthasarathy Street, Muthamizh Nagar, Opposite Sub Register Office, Pammal, Pallavaram, Chennai",Pallavaram,"['South Indian', ' Chinese', ' North Indian']",Invalid,450.0,3.1,39,3.7,328,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Taj Mahal Biriyani Catering," 425 A/1, Kilpauk Garden Road, Kilpauk, Chennai",Kilpauk,"['Biryani', ' North Indian', ' Chinese']",Invalid,450.0,3.0,32,4.0,780,"['Home Delivery', 'Table Reservation Not Required', 'Indoor Seating']"
Dum Briyani," State Highway 113, Lawrence Nagar, Lakshme Nagar, Moulivakkam, Porur, Chennai",Porur,['Biryani'],Invalid,400.0,3.1,46,3.7,366,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Madurai Nambi Vilas," 1/9, 1st Floor, Rajiv Gandhi Salai, Karapakkam, Chennai",Karapakkam,"['South Indian', ' Biryani', ' Chettinad']",Invalid,300.0,3.5,19,3.5,424,"['Home Delivery', 'Indoor Seating']"
Punnu da Dhaba," 53, Mahindra World City, Chengalpattu, Chennai",Chengalpattu,"['North Indian', ' Chinese']",Invalid,150.0,2.8,36,4.0,276,"['Home Delivery', 'Indoor Seating', 'Free Parking']"
Amrin Biryani," 214, Triplicane High Road, Triplicane, Chennai",Triplicane,['Biryani'],Invalid,200.0,3.5,25,4.1,635,"['Home Delivery', 'Indoor Seating']"
Asia Seven Express," 3rd Floor, Phoenix Market City, Velachery, Chennai","Phoenix Market City, Velachery","['Asian', ' Chinese']","['Noodle', ' Spring Roll', ' Fried Rice Chicken']",600.0,2.8,34,3.9,30,"['Home Delivery', 'Mall Parking', 'Indoor Seating']"
Frozen Rolls," 4, Asif Complex, Madipakkam Bazaar Road, Ram Nagar South Extension, Madipakkam, Chennai",Madipakkam,"['Burger', ' Desserts', ' Rolls']",Invalid,350.0,3.6,16,4.2,167,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Fresh N Tasty," 11, Railway Station Road, Near Police Booth, Urapakkam, GST Road, Chennai",GST Road,"['Chinese', ' South Indian', ' North Indian']",Invalid,350.0,3.6,23,3.8,1801,"['Home Delivery', 'Indoor Seating']"
Altten D Burger," C4, OMR Food Street, Navallur, Chennai","OMR Food Street, Navallur","['Burger', ' Italian']",['Burgers'],350.0,3.1,28,2.8,358,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Vintage Resto Cafe," MGR Road, Ezhil Nagar, Sholinganallur, Chennai",Sholinganallur,"['North Indian', ' Chinese']",Invalid,300.0,2.8,35,3.9,59,"['Home Delivery', 'Outdoor Seating']"
Truly Scrumptious," 54 A, R A Puram, 13th Trust Cross Street, Alwarpet, Chennai",Alwarpet,"['Desserts', ' Ice Cream']",Invalid,500.0,3.6,20,3.5,45,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
JTM Ambur Biriyani," 57, Medavakkam Main Road, Puzhuthivakkam, Madipakkam, Chennai",Madipakkam,"['Biryani', ' Chinese']",Invalid,300.0,3.3,21,3.9,851,"['Home Delivery', 'Indoor Seating']"
RR Biryani," 1, Peters Road, Peters Colony, Royapettah, Chennai",Royapettah,"['Biryani', ' Chinese', ' Mughlai']",Invalid,300.0,3.1,46,3.3,1318,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Nizam Grand Inn," 1/117, Rajiv Gandhi Salai, Opposite Hindustan University, Padur, Chennai",Padur,"['South Indian', ' Chinese', ' Mughlai']",Invalid,200.0,3.4,39,3.3,627,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Table reservation required']"
Tea House," 9, 18/3, Muthurangan Salai, T. Nagar, Chennai",T. Nagar,"['Fast Food', ' Beverages', ' Tea']",Invalid,250.0,3.7,23,3.7,413,"['Home Delivery', 'Outdoor Seating']"
Petti Soru," 761, Velachery Main Road, Selaiyur, Chennai",Selaiyur,['South Indian'],Invalid,200.0,3.8,32,3.9,69,"['Home Delivery', 'Indoor Seating']"
Shallots," 36, Rangan Street, Opposite GRT Jewellery, T. Nagar, Chennai",T. Nagar,"['North Indian', ' Biryani', ' Chinese', ' Chettinad']",Invalid,500.0,3.1,38,3.0,569,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Appachi Family Restaurant," 113, 8th Block, Kavimani Salai, Mogappair, Chennai",Mogappair,"['North Indian', ' South Indian', ' Chinese']",Invalid,650.0,3.6,25,3.9,250,"['Home Delivery', 'Indoor Seating']"
Nawab Biriyani," 1, Pazhandiyamman Kovil Street, Adambakkam, Chennai",Adambakkam,"['North Indian', ' Chinese', ' BBQ', ' Biryani']",Invalid,400.0,3.3,34,3.5,382,"['Home Delivery', 'Indoor Seating']"
Hotel Kavin," 1/8, Amman Kovil Street, Ramapuram, Chennai",Ramapuram,"['South Indian', ' Chinese']",Invalid,200.0,3.5,31,3.4,228,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Quality - Inn," 65 ECR, Panaiyur, Akkarai, Chennai",Akkarai,"['South Indian', ' Chinese']",Invalid,400.0,3.5,34,4.0,227,"['Home Delivery', 'Indoor Seating']"
Food Lover," 150/A, Bharathiyar Street, Veerapuram, Mahindra World City, Chengalpattu, Chennai","Mahindra World City, Chengalpattu","['North Indian', ' Chinese', ' Arabian']",Invalid,500.0,3.1,39,3.6,2616,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']"
Taibah," 18/1, Sait Colony, 1st Street, Egmore, Chennai",Egmore,"['Mughlai', ' Kebab']",Invalid,500.0,3.9,23,4.1,246,"['Home Delivery', 'Serves Halal', 'Indoor Seating', 'Self Service']"
Rithika Bhavan," Onnaiamman Koil, 1st Street, Ponniamman Koil Street, Sholinganallur, Chennai",Sholinganallur,"['South Indian', ' Chinese']",Invalid,250.0,3.1,33,3.6,2004,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
R Cube - Hotel SRR Grand," Hotel SRR Grand, GST Road, Vandalur","Hotel SRR Grand, Vandalur","['Chinese', ' Biryani']",Invalid,500.0,3.6,36,3.7,276,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
SPR Food Court," New 5, Visalatchi Nagar, Ekkaduthangal, Chennai",Ekkaduthangal,"['Biryani', ' South Indian', ' Fast Food', ' Street Food', ' Sandwich']",Invalid,200.0,3.5,28,3.9,108,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Madurai Sri Devar Mess," 2, Kumaran Nagar, Thiruvallur Salai, Sholinganallur, Chennai",Sholinganallur,"['Chettinad', ' Chinese']",Invalid,300.0,3.2,35,3.7,2164,"['Home Delivery', 'Indoor Seating']"
Real Pizza Corrner," 2, Thangamani Street, NSK Rane, Near Zoho IT Park, Potheri, Chennai",Potheri,"['Pizza', ' Burger', ' Italian', ' Mexican']",['Pizza'],500.0,3.6,29,3.5,69,"['Home Delivery', 'Indoor Seating']"
Apple Andhra Family Restaurant," 8/1, Blanganagadahar Thilakar Street, Kandan Chavadi, Perungudi, Chennai",Perungudi,['Andhra'],Invalid,300.0,3.5,28,3.7,343,"['Home Delivery', 'Indoor Seating']"
Four 60 Restaurant," 1/460, Mount Poonamallee Road, Porur, Chennai",Porur,"['South Indian', ' North Indian', ' Chinese']",Invalid,400.0,2.9,35,3.8,80,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Buffet']"
Meena Veg Restaurant," 12, South Mada Street, Thiruvanmiyur, Chennai",Thiruvanmiyur,"['Street Food', ' Fast Food', ' North Indian', ' South Indian', ' Beverages']",Invalid,500.0,3.3,31,3.7,180,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Wifi']"
Prabha Foods," 9, South Station Road, Venkatraman Nagar, Korattur, Ambattur, Chennai",Ambattur,"['Chinese', ' Biryani']",Invalid,300.0,3.7,35,4.0,1810,"['Home Delivery', 'Indoor Seating']"
Ar Raziq Beef Kebab Centre," 9/1, Sadiq Basha Nagar, Virugumbakkam, Chennai",Virugambakkam,"['Kerala', ' Chinese', ' Biryani']",Invalid,500.0,3.0,31,3.0,329,"['Home Delivery', 'Indoor Seating']"
